,Group,Group2,Family,Genus,Species,Code,size1,size2,size3,size4,size5,size6,size7,life1,life2,cycl1,cycl2,cycl3,aqua1,aqua2,aqua3,aqua4,repr1,repr2,repr3,repr4,repr5,repr6,repr7,repr8,disp1,disp2,disp3,disp4,resi1,resi2,resi3,resi4,resi5,resp1,resp2,resp3,resp4,resp5,loco1,loco2,loco3,loco4,loco5,loco6,loco7,loco8,food1,food2,food3,food4,food5,food6,food7,food8,food9,fhab1,fhab2,fhab3,fhab4,fhab5,fhab6,fhab7,fhab8
24,Coleoptera,COL,Elmidae,Elmis,sp.,elmisp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
25,Coleoptera,COL,Scirtidae,Elodes,sp.,elodsp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,0,3,1,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
26,Ephemeroptera,EPH,Heptageniidae,Epeorus,sp.,epeosp.,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,1,1,3,1,0,0,1,3,1,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0
27,Ephemeroptera,EPH,Ephemeridae,Ephemera,sp.,epmerasp,0,0,0,0,3,0,0,1,3,3,1,0,3,3,0,0,0,0,3,1,0,0,0,0,1,1,1,3,2,0,0,3,0,1,3,0,0,0,0,0,0,1,4,0,0,0,0,3,2,1,0,0,2,0,0,0,1,3,0,3,0,1,0
28,Ephemeroptera,EPH,Ephemerellidae,Ephemerella,sp.,epellasp,0,0,3,0,0,0,0,3,0,0,3,1,3,3,0,0,0,1,3,0,0,1,0,0,2,3,1,3,2,0,0,1,1,1,3,0,0,0,0,0,1,5,0,0,0,0,0,1,3,4,3,0,1,0,0,0,1,2,2,0,0,1,0
29,Diptera,DIP,Ephydridae,Ephydridae,Gen. sp.,ephygen.,0,1,3,3,0,0,0,3,0,0,3,1,1,2,1,0,0,0,1,1,0,2,2,0,0,0,0,1,0,0,0,2,2,0,0,0,3,0,0,0,0,2,3,0,0,0,0,2,1,5,2,1,0,2,0,0,1,1,3,3,1,0,1
30,Coleoptera,COL,Elmidae,Esolus,sp.,esolsp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
31,Crustacea,CRU,Gammaridae,Gammarus,sp.,gammsp.,0,0,0,2,2,0,0,1,3,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,3,0,1,0,0,0,1,5,2,1,2,2,1,0,0,0,3,1,0,0,0,0
32,Trichoptera,TRI,Glossosomatidae,Glossosoma,sp.,glossosp,0,0,3,1,0,0,0,3,0,0,2,1,3,3,3,0,0,0,0,3,0,0,0,0,1,2,1,1,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
33,Pulmonates,PUL,Planorbidae,Gyraulus,sp.,gyrasp.,0,0,3,0,0,0,0,3,1,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,1,3,0,0,0,0
34,Ephemeroptera,EPH,Leptophlebiidae,Habroleptoides,sp.,habrolsp,0,0,1,3,0,0,0,3,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,0,2,1,1,1,0,0,0,0,3,1,3,0,0,0,0,0,0,3,1,0,0,0,1,3,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0
35,Ephemeroptera,EPH,Leptophlebiidae,Habrophlebia,sp.,habropsp,0,0,3,0,0,0,0,3,0,0,3,0,3,3,0,0,0,1,3,0,0,0,0,0,1,1,1,1,2,0,0,1,1,1,3,0,0,0,0,0,1,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0
36,Trichoptera,TRI,Limnephilidae,Halesus,sp.,halesp.,0,0,0,0,3,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,2,0,3,0,0,0,1,3,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,1,2,0,0,0,3,0,0,0,0,0
37,Hirudinea,HIR,Glossiphoniidae,Helobdella,stagnalis,helostag,0,0,3,1,0,0,0,3,1,0,3,1,3,3,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0
38,Diptera,DIP,Empididae,Hemerodromiinae,Gen. sp.,hemegen.,0,0,3,0,0,0,0,3,0,0,3,2,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0
39,Ephemeroptera,EPH,Heptageniidae,Heptagenia,sp.,heptsp.,0,0,0,3,0,0,0,3,1,1,3,0,3,3,0,0,0,1,2,0,0,0,0,0,3,1,1,3,1,0,0,2,2,1,3,0,0,0,0,0,1,5,0,0,0,0,1,2,2,3,1,0,0,0,0,0,1,2,3,0,0,0,0
40,Diptera,DIP,Limoniidae,Hexatomini,Gen. sp.,hexagen.,0,0,3,1,0,0,0,1,0,0,3,1,2,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,4,0,0,0,0,1,3,1,0,0,0,5,0,0,0,1,1,0,0,3,0
41,Trichoptera,TRI,Hydropsychidae,Hydraena,sp.,hydrsp.1,0,3,0,0,0,0,0,1,3,0,3,1,3,0,0,3,0,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,3,0,0,3,2,0,1,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
42,Plecoptera,PLE,Perlodidae,Hydropsyche,sp.,hyychesp,0,0,1,3,1,0,0,3,0,0,2,2,3,3,3,0,0,0,0,3,0,0,0,0,3,2,1,3,0,0,0,0,3,2,3,0,0,0,0,0,0,2,0,0,3,0,0,2,1,3,0,0,3,1,0,0,0,0,0,3,0,1,0
43,Trichoptera,TRI,Hydroptilidae,Isoperla,sp.,isopsp.,0,0,1,3,0,0,0,1,3,2,3,0,3,3,0,0,0,0,1,2,0,0,0,0,2,2,0,2,2,0,0,1,1,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,1,4,0,0,0,3,1,0,0,1,0
44,Trichoptera,TRI,Lepidostomatidae,Ithytrichia,sp.,ithysp.,0,3,0,0,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,3,2,2,0,0,0,0,0,0,3,0,0,1,0,0,2,0,4,1,0,0,0,0,0,1,1,3,0,0,0,0
45,Trichoptera,TRI,Lepidostomatidae,Lepidostoma,hirtum,lepihirt,0,0,3,1,0,0,0,3,1,0,3,1,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,2,0,0,0,0,3,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0
46,Ephemeroptera,EPH,Leptophlebiidae,Leptophlebia,sp.,leptopsp,0,0,3,1,0,0,0,3,0,0,3,0,3,3,0,0,0,1,3,0,0,0,0,0,2,1,1,3,0,0,0,0,3,1,3,0,0,0,0,0,2,4,0,1,0,0,1,3,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0
47,Plecoptera,PLE,Leuctridae,Leuctra,sp.,leuctrsp,0,0,3,1,0,0,0,3,1,1,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,5,2,1,0,0,0,1,1,2,2,1,0,0,0,0,1,3,1,0,0,0,0
48,Coleoptera,COL,Blephariceridae,Limnius,sp.,limnisp1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
49,Trichoptera,TRI,Goeridae,Liponeura,sp.,liposp.,0,0,3,0,0,0,0,3,0,0,3,2,2,3,2,0,0,0,0,3,0,0,0,0,2,1,0,1,2,0,0,3,0,1,3,0,0,0,0,0,0,2,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
50,Trichoptera,TRI,Goeridae,Lithax,sp.,lithaxsp,0,0,3,1,0,0,0,1,0,0,3,0,3,3,3,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,1,2,3,0,0,0,0,0,0,5,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,2,3,0,0,0,0
51,Nematomorpha,NEM,Mermithidae,Mermithidae,Gen. sp.,mermgen.,0,0,0,3,0,0,0,1,1,0,3,0,3,1,0,2,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3
52,Trichoptera,TRI,Brachycentridae,Micrasema,sp.,micrassp,0,1,3,0,0,0,0,2,1,1,2,0,3,3,3,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,3,3,2,0,0,0,0,0,0,3,0,0,1,0,0,1,2,2,3,0,1,0,0,0,1,3,2,2,0,0,0
53,Diptera,DIP,Muscidae,Muscidae,Gen. sp.,muscgen.,0,0,3,1,0,0,0,3,0,0,1,3,0,2,1,0,1,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,5,0,0,0,1,0,0,0,3,0
54,Plecoptera,PLE,Nemouridae,Nemoura,sp.,nemoursp,0,1,3,0,0,0,0,2,2,2,2,0,3,3,0,0,0,0,3,1,0,0,0,0,2,2,0,2,0,0,0,1,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0
55,Plecoptera,PLE,Nemouridae,Nemurella,pictetii,nemupict,0,0,3,0,0,0,0,3,1,1,3,0,3,3,0,0,0,0,2,2,0,0,0,0,3,2,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0
56,Trichoptera,TRI,Odontoceridae,Odontocerum,albicorne,odonalbi,0,0,0,3,1,0,0,3,2,2,3,0,3,3,3,0,0,0,0,0,0,0,3,0,3,1,1,2,0,0,0,0,3,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3,0,3,2,0,0,0,3,0,0,0,3,0
57,Coleoptera,COL,Dytiscidae,Oreodytes,sp.,oreosp.1,0,3,0,0,0,0,0,1,3,0,1,3,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,3,1,0,0,3,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,3,0,0
58,Diptera,DIP,Chironomidae,Orthocladiinae/Diamesinae/Prodiamesinae,Gen. sp.,ortdiaproge,0,1,3,1,0,0,0,3,0,0,1,3,1,2,3,0,0,0,0,2,1,0,2,0,2,1,1,1,0,0,0,0,3,3,1,0,0,0,0,0,1,3,1,2,1,0,0,2,0,4,1,0,1,0,0,0,1,0,3,1,0,0,1
59,Trichoptera,TRI,Limnephilidae,other Limnephilini,Gen. sp.,othlimnge,0,0,0,3,2,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,1,0,0,1,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,5,0,0,0,0,0,1,5,0,2,1,0,0,0,0,0,3,0,0,0,0,0
60,Oligochaeta,OLI,Lumbriculidae,other Lumbriculidae,Gen. sp.,othlumbge,0,0,0,0,3,3,3,0,1,0,0,3,3,3,0,3,0,0,0,2,0,0,0,3,1,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
61,Trichoptera,TRI,Limnephilidae,other Stenophylacini/Chaetopterygini,Gen. sp.,othstechage,0,0,0,3,2,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,2,1,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,3,0,0,0,0,0
62,Coleoptera,COL,Elmidae,Oulimnius,sp.,oulisp.1,0,3,0,0,0,0,0,1,3,0,3,0,3,3,0,2,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,3,1,3,3,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0
63,Trichoptera,TRI,Hydroptilidae,Oxyethira,sp.,oxyesp.,1,3,0,0,0,0,0,3,0,0,1,3,3,3,3,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,3,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,3,0,0
64,Ephemeroptera,EPH,Leptophlebiidae,Paraleptophlebia,sp.,paralesp,0,0,2,2,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,1,1,3,0,0,0,0,3,1,3,0,0,0,0,0,1,4,1,0,0,0,0,3,2,2,0,0,0,0,0,0,2,2,1,0,0,0,0
65,Diptera,DIP,Tipulidae,Pediciini,Gen. sp.,pedigen.,0,0,0,1,3,2,0,3,0,0,3,1,2,2,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0
66,Plecoptera,PLE,Perlodidae,Perlodes,sp.,perlodsp,0,0,0,1,3,0,0,0,3,1,3,0,3,3,0,0,0,0,3,0,0,0,0,0,1,2,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,3,0,0,0,1,0
67,Trichoptera,TRI,Philopotamidae,Philopotamus,sp.,philsp.,0,0,1,3,0,0,0,3,0,0,3,0,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,2,2,3,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,3,1,0,0,1,0,0,0,0,2,3,0,1,0
68,Bivalvia,BIV,Sphaeriidae,Pisidium,sp.,casesp.,0,3,2,1,0,0,0,2,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0,1,4,1,2,0,0,3,0,5,0,0,2,0,0,0,0,0,0,3,0,0,0
69,Pulmonates,PUL,Planorbidae,Planorbis,sp.,plrbissp,0,0,0,3,0,0,0,3,0,0,3,1,3,0,0,3,0,0,0,3,0,0,0,0,2,1,0,0,0,0,1,1,0,3,2,0,0,0,0,2,0,4,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,1,2,0,0,0,0
70,Trichoptera,TRI,Polycentropodidae,Plectrocnemia,sp.,plecsp.,0,0,0,3,2,0,0,2,1,1,2,2,3,3,3,0,0,0,0,2,1,0,0,0,2,1,1,2,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,3,0
71,Trichoptera,TRI,Polycentropodidae,Polycentropus,sp.,poopussp,0,0,1,3,0,0,0,3,1,1,3,2,3,3,3,0,0,0,0,3,0,0,0,0,1,1,1,2,0,0,0,1,3,3,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,3,1,0,3,4,0,0,0,1,0,1,0,3,0
72,Diptera,DIP,Simuliidae,Prosimuliinae,Gen. sp.,prosgen.,0,0,1,0,0,0,0,3,0,0,2,3,2,3,3,0,0,1,0,3,1,0,1,0,2,1,3,1,1,0,0,1,0,3,1,0,0,0,0,0,0,2,0,1,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0
73,Plecoptera,PLE,Nemouridae,Protonemura,sp.,protonsp,0,0,3,1,0,0,0,3,0,0,3,0,3,3,0,0,0,0,3,0,0,0,0,0,2,2,0,1,1,0,0,1,3,3,2,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0
74,Diptera,DIP,Psychodidae,Psychodidae,Gen. sp.,psydidge,0,0,3,0,0,0,0,3,0,0,1,3,2,2,2,0,1,0,1,3,0,0,0,0,3,1,0,1,0,0,0,0,3,0,0,0,3,0,0,1,0,2,0,0,0,0,0,2,4,2,1,2,0,0,0,0,2,3,1,0,0,0,0
75,Trichoptera,TRI,Ptilocolepidae,Ptilocolepus,granulatus,ptilgran,0,1,3,0,0,0,0,3,0,0,1,1,3,3,3,0,0,0,0,3,0,0,0,0,1,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,1,0,1,0,0
76,Pulmonates,PUL,Lymnaeidae,Radix,sp.,radisp.,0,0,0,1,3,0,0,2,3,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,5,3,1,3,1,0,0,0,1,3,0,0,0,0
77,Ephemeroptera,EPH,Heptageniidae,Rhithrogena,sp.,rhithrsp,0,0,1,3,0,0,0,3,1,1,3,0,3,3,0,0,0,1,1,3,0,0,0,0,3,2,1,3,2,0,0,0,2,1,3,0,0,0,0,0,1,5,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,3,0,0,0,0
78,Trichoptera,TRI,Rhyacophilidae,Rhyacophila (Hyporhyacophila),sp.,rhyahosp,0,0,2,2,0,0,0,0,3,3,0,0,3,3,3,0,0,0,3,0,0,0,0,0,3,2,1,2,0,0,0,0,3,3,0,0,0,0,0,0,2,3,0,0,1,0,0,0,1,1,0,1,0,5,0,0,0,2,0,0,0,1,0
79,Trichoptera,TRI,Rhyacophilidae,Rhyacophila,sp.,rhyilasp,0,0,1,3,2,0,0,3,2,1,2,1,3,3,3,0,0,0,3,0,1,0,0,0,3,2,1,2,1,0,0,2,3,2,2,0,0,0,0,0,2,3,0,0,1,0,0,1,1,1,0,0,1,5,0,0,0,0,0,0,0,3,0
80,Trichoptera,TRI,Sericostomatidae,Sericostoma,sp.,serisp.,0,0,0,3,0,0,0,3,1,2,3,1,3,3,3,0,0,0,0,3,0,0,0,0,2,1,1,1,0,0,0,1,3,2,2,0,0,0,0,0,0,4,1,1,0,0,0,0,3,1,2,0,1,1,0,0,0,3,1,0,0,0,0
81,Ephemeroptera,EPH,Ephemerellidae,Serratella,sp.,serrasp.,0,0,3,0,0,0,0,3,0,0,3,1,3,3,0,0,0,1,3,0,0,1,0,0,2,3,1,3,2,0,0,1,1,1,3,0,0,0,0,0,1,5,0,0,0,0,0,1,3,4,3,0,1,0,0,0,1,2,2,0,0,1,0
